bob
Mon Oct 10 16:44:17 2022    example.stats

         973 function calls (969 primitive calls) in 0.001 seconds

   Ordered by: cumulative time
   List reduced from 229 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/serving.py:262(write)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/wrappers/response.py:621(__call__)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/wrappers/response.py:602(get_wsgi_response)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/wrappers/response.py:480(get_wsgi_headers)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/serving.py:381(send_response)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/serving.py:405(log_request)
        2    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/urls.py:715(uri_to_iri)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/serving.py:441(log)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/wsgi.py:37(get_current_url)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/_internal.py:206(_log)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/sansio/utils.py:104(get_current_url)
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/logging/__init__.py:1436(info)
